Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,174066,University of Minnesota-Twin Cities,MN,NCAA Division I-A,,1,NCAA,12440,13733,26173,,,,,,,,,753085,,,753085,2279663,1377673,,3657336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7466184,,,7466184,328454,309444,,637898,430753,620382,,1051135,1462758,850349,,2313107,,,,,,,,,,,,,,733493,,733493,,,,,,,,,,503995,,503995,,634706,,634706,,,,,655913,657869,,1313782,,,,,,,,,,,,,,,,,429842,361061,,790903,304675,303251,,607926,304675,303251,,607926,152337,151625,,303962,,958325,,958325,,,,,,,,,631658,,,631658,,,,,15199997,7765424,,25175032,48140453
2003,181464,University of Nebraska at Lincoln,NE,NCAA Division I-A,,1,NCAA,8456,7763,16219,,,,,,,,,1132631,,,1132631,2816900,1686407,,4503307,,,,,,375376,,375376,1097210,1097210,,2194420,,,,,,,,,,,,,,,,,12954126,,,12954126,237257,261085,,498342,434567,695717,,1130284,,,,,,,,,,203627,,203627,,,,,,,,,,,,,,,,,,867187,,867187,,824702,,824702,,,,,,601714,,601714,,,,,,,,,,,,,,,,,337706,435287,,772993,,,,,,,,,,,,,,1321912,,1321912,,,,,,,,,664966,,,664966,,,,,19675363,8370224,,27798324,55843911
2003,240444,University of Wisconsin-Madison,WI,NCAA Division I-A,,1,NCAA,12617,14177,26794,,,,,,,,,,,,,2741254,1766822,,4508076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10806874,,,10806874,232361,328864,,561225,,,,,1977769,1309260,,3287029,,,,,,,,,,,,,459307,1317813,,1777120,,,,,,,,,596617,622944,,1219561,,744560,,744560,,,,,673395,753911,,1427306,,,,,,,,,,,,,,,,,307230,414880,,722110,,,,,,,,,962447,841807,,1804254,,936533,,936533,,,,,,,,,591634,,,591634,,,,,19348888,9037394,,22485568,50871850
2004,151351,Indiana University-Bloomington,IN,NCAA Division I-A,,1,NCAA,13390,14353,27743,,,,,,,,,839241,,,839241,3832684,1621219,,5453903,,,,,,,,,971787,993390,,1965177,,,,,,,,,,,,,,600248,,600248,10109936,,,10109936,261667,240860,,502527,,,,,,,,,,,,,,,,,,,,,,517989,,517989,,,,,,,,,932512,726528,,1659040,,722834,,722834,,,,,853100,824532,,1677632,,,,,,,,,,,,,,,,,372434,529676,,902110,,,,,,,,,,,,,,891915,,891915,,482794,,482794,,,,,578920,,,578920,,,,,18752281,8151985,,11361285,38265551
2004,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14785,16913,31698,,,,,,,,,753600,,,753600,6297369,2943143,,9240512,,,,,,,,,,,,,,,,,,,,,,,,,,898149,,898149,13711231,,,13711231,481944,590177,,1072121,,759802,,759802,2099599,,,2099599,,,,,,,,,,,,,,1170906,,1170906,,,,,,,,,694485,768152,,1462637,,942060,,942060,,,,,527266,671891,,1199157,,,,,,,,,,,,,,,,,340110,379985,,720095,,,,,,,,,778926,980739,,1759665,,1362838,,1362838,,,,,,,,,782647,,,782647,,,,,26467177,11467842,,17476673,55411692
2004,147767,Northwestern University,IL,NCAA Division I-A,,1,NCAA,3707,4202,7909,,,,,,,,,792369,,,792369,2668917,1520800,,4189717,,,,,,,,,,,,,,,,,,,,,,408474,,408474,,764306,,764306,10068010,,,10068010,395504,432090,,827594,,,,,,,,,,747277,,747277,,,,,,,,,,,,,,,,,,,,,475516,733092,,1208608,,826295,,826295,,,,,578611,792920,,1371531,,,,,,,,,,,,,,,,,374471,556999,,931470,,,,,,,,,,362171,,362171,,835703,,835703,,,,,,,,,582792,,,582792,,,,,15936190,7980127,,10383761,34300078
2004,204796,Ohio State University-Main Campus,OH,NCAA Division I-A,,1,NCAA,17674,15910,33584,,,,,,,,,1119011,,,1119011,4051972,2715268,,6767240,,,,,,,,,820750,943965,,1764715,,,,,,,,,418151,439921,,858072,,802057,,802057,25711478,,,25711478,368759,418836,,787595,562384,777112,,1339496,1578988,1023215,,2602203,890948,754669,,1645617,,,54284,54284,,,,,,913116,,913116,,,,,,,,,836766,781815,,1618581,,790527,,790527,,,,,634988,729576,,1364564,,,,,,376532,,376532,,,,,,,,,392665,527724,,920389,,,,,,,,,,,,,408987,960323,,1369310,,,,,,,,,1051045,,,1051045,,,48410,48410,38846892,12954656,102694,37676064,89580306
2004,243780,Purdue University-Main Campus,IN,NCAA Division I-A,,1,NCAA,17685,11815,29500,,,,,,,,,744193,,,744193,3300819,1878661,,5179480,,,,,,,,,704991,790615,,1495606,,,,,,,,,,,,,,,,,12287197,,,12287197,312356,298598,,610954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721414,,721414,,722959,,722959,,,,,739255,862415,,1601670,,,,,,,,,,,,,,,,,393992,476784,,870776,,,,,,,,,,,,,,951200,,951200,,,,,,,,,569299,,,569299,,,,,19052102,6702646,,23368763,49123511
2004,186380,Rutgers University-New Brunswick/Piscataway,NJ,NCAA Division I-A,,1,NCAA,11813,12603,24416,,,,,,,,,739278,,,739278,3150552,2629082,,5779634,,,,,,,,,514211,711929,,1226140,,,,,,,,,98583,74215,,172798,,503081,,503081,10667176,,,10667176,141483,141347,,282830,,372214,,372214,,,,,609224,496685,,1105909,,,,,,,,,508010,279231,,787241,,,,,,,,,807390,646115,,1453505,,526753,,526753,,,,,,,,,327856,508675,,836531,,,,,,,,,,,,,173789,273826,,447615,,,,,,,,,,,,,,442011,,442011,,,,,,,,,239574,,,239574,,,,,17977126,7605164,,11585764,37168054
2004,145637,University of Illinois at Urbana-Champaign,IL,NCAA Division I-A,,1,NCAA,15066,13620,28686,,,,,,,,,907960,,,907960,3239017,1763254,,5002271,,,,,,,,,642194,790967,,1433161,,,,,,,,,,,,,,,,,9060219,,,9060219,290441,255186,,545627,456324,604466,,1060790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698070,,698070,,722930,,722930,,,,,,542240,,542240,,,,,,,,,,,,,,,,,527778,461392,,989170,,,,,,,,,,,,,,892562,,892562,,,,,,,,,787755,,,787755,,,,,15911688,6731067,,16555479,39198234
